seed,dataset,dice,asd,hd95
20260522,Kvasir-120,87.42580158721918,15.091618221998214,50.479598511060075
20260522,PH2-60,93.85967681833971,12.625136808554332,40.05246917406718
20260527,Kvasir-120,87.46639394641761,15.06453830798467,50.32874063809712
20260527,PH2-60,93.8662810554322,12.660561013221741,40.07545413970947
20260530,Kvasir-120,87.47595793284154,15.016693269213041,50.256319889823594
20260530,PH2-60,93.86455262702917,12.661437118053437,40.09016399383544
