loss,final,prior,boundary,box,anchor,distill,binarize,binary_boundary,binary_area,binary_distance,residual,alpha,box_scale,temperature,threshold,threshold_sharpness,w_final,w_prior,w_boundary,w_box,w_anchor,w_distill,w_binarize,w_binary_boundary,w_binary_area,w_binary_distance,step,epoch
0.9602141771804202,0.507616006786173,0.0898773149333217,0.005676741913405501,0.24417997219345786,0.0,0.0,0.13919627260078082,0.0,0.0,0.0,0.0,0.5270110555670479,2.4214640205556694,1.0,0.5992960182103244,12.004795104807073,1.0052780064669522,1.0053358316421508,1.0053239090876145,1.0052270851351999,1.0053253813223406,0.0,1.0053148264234717,0.0,0.0,0.0,220,1
0.8536728991703554,0.48418350517749786,0.09733449645679106,0.005667733040172607,0.20572197301821274,0.0,0.0,0.13503509153696625,0.0,0.0,0.0,0.0,0.6315602056004784,2.210344818505374,1.0,0.5896429097110575,12.01346559524536,1.0147514473308217,1.0148009647022593,1.0148508418690074,1.0147259414196015,1.0148523699153553,0.0,1.01485249616883,0.0,0.0,0.0,440,1
0.7904760882935741,0.46446357159452006,0.1014565199952234,0.005880541699430482,0.19919017878445713,0.0,0.0,0.13913758854297073,0.0,0.0,0.0,0.0,0.6855938003821807,2.1931684667413887,1.0,0.5863694957711479,12.021427752754905,1.02394739985466,1.0238061276349155,1.023932041905143,1.0237161414189773,1.023933038928292,0.0,1.023934982581572,0.0,0.0,0.0,660,1
0.7284394408491525,0.4645519937303933,0.09272125359963287,0.005918967344438319,0.20297746604139155,0.0,0.0,0.12779303936457093,0.0,0.0,0.0,0.0,0.7089049425992099,2.2042915441773157,1.0,0.5782571063800291,12.029700764742765,1.0332321828061883,1.033001348105344,1.0331487574360587,1.032908866080371,1.0331519386985086,0.0,1.0331596027721057,0.0,0.0,0.0,880,1
0.6795064362612637,0.4594960541887717,0.09683927649801427,0.006014824905221096,0.19226311336864124,0.0,0.0,0.13648523971099746,0.0,0.0,0.0,0.0,0.7207420154051347,2.232625021717765,1.0,0.5769199780442498,12.038091949983077,1.0427176524292339,1.0423979515379125,1.0425877050919967,1.0421314217827538,1.0425946945493871,0.0,1.0425912445241754,0.0,0.0,0.0,1100,2
0.6459635019979694,0.45831567570567133,0.09691392169757322,0.0057085255795920435,0.20673103549263694,0.0,0.0,0.1353589579463005,0.0,0.0,0.0,0.0,0.7293720879338005,2.217471171509136,1.0,0.577464626323093,12.046668520840731,1.0521834731101989,1.051938825303858,1.0521730997345664,1.0514810567552393,1.0521812422709031,0.0,1.0521210892633959,0.0,0.0,0.0,1320,2
0.5880375130948695,0.4541156002066352,0.0938151620159095,0.0057995031460780985,0.20896236165003343,0.0,0.0,0.12609526687725023,0.0,0.0,0.0,0.0,0.7339801213958047,2.2029258316213434,1.0,0.5803706204349345,12.054897130619397,1.0610592966729944,1.0609208264134147,1.0612369071353565,1.0602438363161955,1.061244226585735,0.0,1.0611394811760295,0.0,0.0,0.0,1540,2
0.5348869446326386,0.4553348300131885,0.093821224773472,0.005621130366555669,0.20052127702669664,0.0,0.0,0.12687044590711594,0.0,0.0,0.0,0.0,0.7382876084609465,2.2081050526012076,1.0,0.5805252598090606,12.063671259446577,1.0706884508783168,1.0706748062914069,1.07103311419487,1.0696609740907497,1.0710415699265219,0.0,1.070939434116537,0.0,0.0,0.0,1760,2
0.49629170735451306,0.45916889201511035,0.0971157845956358,0.005704602628247813,0.19136274429884823,0.0,0.0,0.13506312644617124,0.0,0.0,0.0,0.0,0.7402630415829745,2.214262092113495,1.0,0.5773320401256735,12.07226820859042,1.08011072603139,1.0803417514670979,1.0807875660332766,1.0792180353944951,1.0807971477508544,0.0,1.0805990148674358,0.0,0.0,0.0,1980,3
0.43065067759969017,0.45052570632912897,0.09576388194479725,0.005915414325003935,0.19152986651117151,0.0,0.0,0.126866388337856,0.0,0.0,0.0,0.0,0.7417380679737438,2.2241640426895835,1.0,0.5808077844706449,12.081286768479782,1.0897143065929413,1.0903434704650532,1.0908888768066058,1.088893169706518,1.0908992171287537,0.0,1.0906034263697537,0.0,0.0,0.0,2200,3
0.3741295995360071,0.4465786943381483,0.08938847626136108,0.005868370129345831,0.19534421888264744,0.0,0.0,0.1254465537145734,0.0,0.0,0.0,0.0,0.7461911783976989,2.222371861067685,1.0,0.5768671867522326,12.09055963863026,1.0998177154497666,1.1007276491685347,1.1013493749228391,1.0991291241212324,1.1013642598282207,0.0,1.1009950892491773,0.0,0.0,0.0,2420,3
0.3922531100836667,0.46251573074947705,0.09912144218317487,0.005655596914849329,0.21951431415297767,0.0,0.0,0.1346708580512892,0.0,0.0,0.0,0.0,0.7489132239059968,2.2118858033960516,1.0,0.5768250264904716,12.099737670204856,1.1097998521544716,1.1111616085876117,1.1118208522146398,1.1091463110663675,1.1118388614871286,0.0,1.1113856342705812,0.0,0.0,0.0,2640,3
