loss,final,prior,boundary,box,anchor,distill,binarize,binary_boundary,binary_area,binary_distance,residual,alpha,alpha_std,alpha_min,alpha_max,box_scale,temperature,threshold,threshold_sharpness,w_final,w_prior,w_boundary,w_box,w_anchor,w_distill,w_binarize,w_binary_boundary,w_binary_area,w_binary_distance,step,epoch,window_n,tag
0.974191055920991,0.515420424938202,0.10264541969041932,0.005759966831696643,0.23354019658132033,0.0,0.0,0.14234731483527205,0.0,0.0,0.0,0.0,0.5330135667865926,0.0,0.5330135667865926,0.5330135667865926,2.393650525266474,1.0,0.6020518563010476,12.004782837087458,1.0051358304240487,1.0051429201256146,1.0051489981738004,1.005162866007198,1.0051489943807774,0.0,1.0051347158171915,0.0,0.0,0.0,220,1,220,step
0.8585779011249542,0.47836539880795914,0.09893912622197108,0.005866283210608262,0.21413859318603168,0.0,0.0,0.13421456390483813,0.0,0.0,0.0,0.0,0.6406805434010245,0.0,0.6406805434010245,0.6406805434010245,2.197684961015528,1.0,0.5936094294894826,12.013360019163652,1.014771922610023,1.0145065188407898,1.0145402084697377,1.0146465962583369,1.014539994434877,0.0,1.0145451025529342,0.0,0.0,0.0,440,1,220,step
0.7954532991756093,0.46741785881194203,0.09351584464311599,0.005927806066095152,0.21121926795352589,0.0,0.0,0.1369555906646631,0.0,0.0,0.0,0.0,0.6887602911754088,0.0,0.6887602911754088,0.6887602911754088,2.2094916289502926,1.0,0.5762416964227502,12.021812048825351,1.0243791433897886,1.0238880303773013,1.0238551345738498,1.0237087146802382,1.0238548110831867,0.0,1.023902984640815,0.0,0.0,0.0,660,1,220,step
0.6919973255558447,0.4549158339473334,0.0862891944294626,0.0055899278890468515,0.18797862285917455,0.0,0.0,0.12706870897249742,0.0,0.0,0.0,0.0,0.7140547836368735,0.0,0.7140547836368735,0.7140547836368735,2.2087060158902947,1.0,0.5796479035507549,12.030725440112027,1.034361038424752,1.0337886848232962,1.033683457699689,1.0335397736592726,1.033681546016173,0.0,1.033769009330056,0.0,0.0,0.0,880,1,220,step
0.6621839519251477,0.45370740429921586,0.0953248158943924,0.0059426213244230235,0.19206173528324474,0.0,0.0,0.13217706255276096,0.0,0.0,0.0,0.0,0.7253526671366258,0.0,0.7253526671366258,0.7253526671366258,2.2200570702552795,1.0,0.5762945798310366,12.039346759969538,1.0441556681286206,1.043537457964637,1.0433954964984546,1.043319496241483,1.0433940188451247,0.0,1.0435180127620698,0.0,0.0,0.0,1100,2,220,step
0.6256137888539921,0.4639046574180776,0.09224844500422477,0.005719478041018275,0.19644142280925403,0.0,0.0,0.12996757894077085,0.0,0.0,0.0,0.0,0.7310207998210734,0.0,0.7310207998210734,0.7310207998210734,2.228459812294353,1.0,0.5812607058069923,12.048071072318336,1.0536519104784186,1.053064906055277,1.0529632416638461,1.0527211487293244,1.0529626131057739,0.0,1.0530555492097682,0.0,0.0,0.0,1320,2,220,step
0.5912764360620217,0.46119928441264413,0.09850453747944399,0.00578933354541236,0.19659075980836696,0.0,0.0,0.1362649414688349,0.0,0.0,0.0,0.0,0.7369485725056041,0.0,0.7369485725056041,0.7369485725056041,2.213164512677626,1.0,0.5799449319189245,12.05661305514249,1.0629414905201304,1.0625356869264082,1.0624783217906952,1.0619462397965518,1.0624782361767509,0.0,1.0625103040175004,0.0,0.0,0.0,1540,2,220,step
0.542292375185273,0.4482898483899507,0.09531178660690784,0.00569255108659325,0.21898694363507357,0.0,0.0,0.1264309378171509,0.0,0.0,0.0,0.0,0.7400577872991562,0.0,0.7400577872991562,0.7400577872991562,2.214325042204423,1.0,0.576952396739613,12.065325065092606,1.0722044039856304,1.0721098054539073,1.0721567023884166,1.0712044607509266,1.0721579031510786,0.0,1.0720957826484334,0.0,0.0,0.0,1760,2,220,step
0.505724789405411,0.46113745177334003,0.09514854641800577,0.005827360335123641,0.2102745909582485,0.0,0.0,0.13286871283569118,0.0,0.0,0.0,0.0,0.7427070295268839,0.0,0.7427070295268839,0.7427070295268839,2.2168621334162624,1.0,0.5774218591776761,12.074817341024225,1.0822287852113897,1.0824337048964068,1.082573082230308,1.0809273969043385,1.0825750914486971,0.0,1.0824641027233817,0.0,0.0,0.0,1980,3,220,step
0.4361404193734581,0.45341225252910095,0.09990780556743795,0.005817727024920962,0.190957756746899,0.0,0.0,0.13248204920779574,0.0,0.0,0.0,0.0,0.7451092300089923,0.0,0.7451092300089923,0.7451092300089923,2.2108393463221465,1.0,0.5794427007436752,12.083628446405584,1.0916594765403054,1.092190166495063,1.0923955619335175,1.0905534196983684,1.092399995435368,0.0,1.092203418233178,0.0,0.0,0.0,2200,3,220,step
0.39171468750997024,0.45187818116762424,0.09221348008987579,0.0055611052269920365,0.20632353208281778,0.0,0.0,0.12800880274312063,0.0,0.0,0.0,0.0,0.7478365304795178,0.0,0.7478365304795178,0.7478365304795178,2.2100902351466094,1.0,0.5800413616678931,12.092332007668235,1.101393991166895,1.1022997899488969,1.1025464144620027,1.1002938216382807,1.1025512646545064,0.0,1.1022965561259876,0.0,0.0,0.0,2420,3,220,step
0.33015266070989047,0.45083256580612874,0.0941197529096495,0.005937791410410269,0.19193040782755072,0.0,0.0,0.12799589622088453,0.0,0.0,0.0,0.0,0.7495948274027218,0.0,0.7495948274027218,0.7495948274027218,2.228039106455716,1.0,0.5799116094004024,12.101443880254573,1.1112764537334443,1.112714022397995,1.1130535467104479,1.1101478424939242,1.1130592465400695,0.0,1.1127044428478587,0.0,0.0,0.0,2640,3,220,step
